"items__itemId","items__sellerItemRevision","items__title","items__shortDescription","items__price__value","items__price__currency","items__categoryPath","items__condition","items__conditionId","items__itemLocation__city","items__itemLocation__country","items__image__imageUrl","items__color","items__material","items__pattern","items__sizeType","items__brand","items__itemEndDate","items__seller__username","items__seller__feedbackPercentage","items__seller__feedbackScore","items__estimatedAvailabilities__deliveryOptions__-","items__estimatedAvailabilities__availabilityThresholdType","items__estimatedAvailabilities__availabilityThreshold","items__estimatedAvailabilities__estimatedAvailabilityStatus","items__estimatedAvailabilities__estimatedSoldQuantity","items__shippingOptions__shippingServiceCode","items__shippingOptions__trademarkSymbol","items__shippingOptions__shippingCarrierCode","items__shippingOptions__type","items__shippingOptions__shippingCost__value","items__shippingOptions__shippingCost__currency","items__shippingOptions__quantityUsedForEstimate","items__shippingOptions__minEstimatedDeliveryDate","items__shippingOptions__maxEstimatedDeliveryDate","items__shippingOptions__shipToLocationUsedForEstimate__country","items__shippingOptions__additionalShippingCostPerUnit__value","items__shippingOptions__additionalShippingCostPerUnit__currency","items__shippingOptions__shippingCostType","items__shipToLocations__|","items__shipToLocations__|__regionName","items__shipToLocations__|__regionType","items__returnTerms__returnsAccepted","items__returnTerms__refundMethod","items__returnTerms__returnMethod","items__returnTerms__returnShippingCostPayer","items__returnTerms__returnPeriod__value","items__returnTerms__returnPeriod__unit","items__localizedAspects__type","items__localizedAspects__name","items__localizedAspects__value","items__topRatedBuyingExperience","items__buyingOptions__-","items__primaryItemGroup__itemGroupId","items__primaryItemGroup__itemGroupType","items__primaryItemGroup__itemGroupHref","items__primaryItemGroup__itemGroupTitle","items__primaryItemGroup__itemGroupImage__imageUrl","items__primaryItemGroup__itemGroupAdditionalImages__imageUrl","items__enabledForGuestCheckout","items__adultOnly","items__categoryId","commonDescriptions__description","commonDescriptions__itemIds"
"v1|151915076499|451099789272","6","American Apparel T-Shirt 2001 Fine Jersey Crew Neck Blank Cotton Tee Shirt","An American classic! The fine jersey crew neck tee is one of the most popular tee shirts in the world. Known for it's unmatched smoothness, and perfect fit. This tee shirt is crafted from high quality combed cotton, and made right in the USA.","6.90","USD","Clothing, Shoes & Accessories|Men's Clothing|T-Shirts","New without tags","1500","United States","US","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/xB0AAOSwBahVei9n/$_57.JPG?set_id=880000500F","Black","100% Cotton","Solid","Regular","American Apparel","2017-07-05T20:59:33.000Z","echofoxclothing","98.9","13307","SHIP_TO_HOME","MORE_THAN","10","IN_STOCK","492","USPS First Class Package","�","USPS","Standard Shipping","3.50","USD","1","2017-06-08T10:00:00.000Z","2017-06-13T10:00:00.000Z","US","1.50","USD","FIXED","regionIncluded","Worldwide","WORLDWIDE","True","MONEY_BACK","EXCHANGE","BUYER","60","CALENDAR_DAY","STRING","Size (Men's)","S","False","FIXED_PRICE","151915076499","SELLER_DEFINED_VARIATIONS","https://api.ebay.com/buy/browse/v1/get_items_by_item_group?item_group_id=151915076499","American Apparel T-Shirt 2001 Fine Jersey Crew Neck Blank Cotton Tee Shirt","http://i.ebayimg.com/00/s/NzUwWDc1MA==/z/ZYkAAOSwstxVJKeL/$_57.JPG?set_id=880000500F","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/E~AAAOSw~OdVeiy~/$_57.JPG?set_id=880000500F","True","False","15687","<font rwr='1' size='4' style='font-family:Arial'>\n\n\n<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"">\n<title>Echo Fox Clothing</title>\n\n<style>\nbody{\nmargin:0;\npadding:0;\nbackground:#ffffff;\ncolor:#3d3f40;\nline-height:18px;\nfont-family:Arial, Helvetica, sans-serif;\nfont-size:14px;\n}\n.container{\nmargin:0 auto;\nborder: 1px solid #f7f7f7;\n}\n</font>","v1|151915076499|451099789272"
"","","","","","","","","","","","","","","","","","","","","","","","","","","One-day Shipping","","","One-day Shipping","24.00","USD","1","2017-06-07T10:00:00.000Z","2017-06-07T10:00:00.000Z","US","8.00","USD","FIXED","regionExcluded","Africa","WORLD_REGION","","","","","","","STRING","Color","Black","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/cn4AAOSwBLlVeiy0/$_57.JPG?set_id=880000500F","","","","","v1|151915076499|451099789273"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bahrain","COUNTRY","","","","","","","STRING","Brand","American Apparel","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/T8IAAOSw3xJVeiy5/$_57.JPG?set_id=880000500F","","","","","v1|151915076499|451099789215"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Iraq","COUNTRY","","","","","","","STRING","Sleeve Length","Short Sleeve","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/gvEAAOSwpDdVeiyy/$_57.JPG?set_id=880000500F","","","","","v1|151915076499|451099789216"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jordan","COUNTRY","","","","","","","STRING","Style","Basic Tee","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/UzIAAOSwstxVeiy8/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kuwait","COUNTRY","","","","","","","STRING","Pattern","Solid","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/hmsAAOSwBahVeiyz/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lebanon","COUNTRY","","","","","","","STRING","Size Type","Regular","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/cqMAAOSwBLlVeiy2/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Oman","COUNTRY","","","","","","","STRING","Country/Region of Manufacture","United States","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/htsAAOSwBahVeiy4/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Qatar","COUNTRY","","","","","","","STRING","Material","100% Cotton","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/lBYAAOSwZd1Veiy7/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Saudi Arabia","COUNTRY","","","","","","","","","","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/ZE0AAOSwv0tVeiy9/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Turkey","COUNTRY","","","","","","","","","","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/lcAAAOSwZd1VeizX/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","United Arab Emirates","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yemen","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Afghanistan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Armenia","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Azerbaijan Republic","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bangladesh","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bhutan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Georgia","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","India","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kazakhstan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kyrgyzstan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Maldives","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mongolia","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nepal","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pakistan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sri Lanka","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tajikistan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Turkmenistan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Uzbekistan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Albania","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Andorra","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cyprus","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Gibraltar","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Greece","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Guernsey","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Italy","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jersey","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Macedonia","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Malta","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Moldova","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Monaco","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Montenegro","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","San Marino","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Serbia","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Slovenia","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Svalbard and Jan Mayen","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cambodia","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Indonesia","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Laos","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Macau","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"v1|151915076499|451099789273","6","American Apparel T-Shirt 2001 Fine Jersey Crew Neck Blank Cotton Tee Shirt","An American classic! The fine jersey crew neck tee is one of the most popular tee shirts in the world. Known for it's unmatched smoothness, and perfect fit. This tee shirt is crafted from high quality combed cotton, and made right in the USA.","6.90","USD","Clothing, Shoes & Accessories|Men's Clothing|T-Shirts","New without tags","1500","United States","US","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/xB0AAOSwBahVei9n/$_57.JPG?set_id=880000500F","Black","100% Cotton","Solid","Regular","American Apparel","2017-07-05T20:59:33.000Z","echofoxclothing","98.9","13307","SHIP_TO_HOME","MORE_THAN","10","IN_STOCK","1160","USPS First Class Package","�","USPS","Standard Shipping","3.50","USD","1","2017-06-08T10:00:00.000Z","2017-06-13T10:00:00.000Z","US","1.50","USD","FIXED","regionIncluded","Worldwide","WORLDWIDE","True","MONEY_BACK","EXCHANGE","BUYER","60","CALENDAR_DAY","STRING","Size (Men's)","M","False","FIXED_PRICE","151915076499","SELLER_DEFINED_VARIATIONS","https://api.ebay.com/buy/browse/v1/get_items_by_item_group?item_group_id=151915076499","American Apparel T-Shirt 2001 Fine Jersey Crew Neck Blank Cotton Tee Shirt","http://i.ebayimg.com/00/s/NzUwWDc1MA==/z/ZYkAAOSwstxVJKeL/$_57.JPG?set_id=880000500F","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/E~AAAOSw~OdVeiy~/$_57.JPG?set_id=880000500F","True","False","15687","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","One-day Shipping","","","One-day Shipping","24.00","USD","1","2017-06-07T10:00:00.000Z","2017-06-07T10:00:00.000Z","US","8.00","USD","FIXED","regionExcluded","Africa","WORLD_REGION","","","","","","","STRING","Color","Black","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/cn4AAOSwBLlVeiy0/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bahrain","COUNTRY","","","","","","","STRING","Brand","American Apparel","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/T8IAAOSw3xJVeiy5/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Iraq","COUNTRY","","","","","","","STRING","Sleeve Length","Short Sleeve","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/gvEAAOSwpDdVeiyy/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jordan","COUNTRY","","","","","","","STRING","Style","Basic Tee","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/UzIAAOSwstxVeiy8/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kuwait","COUNTRY","","","","","","","STRING","Pattern","Solid","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/hmsAAOSwBahVeiyz/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lebanon","COUNTRY","","","","","","","STRING","Size Type","Regular","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/cqMAAOSwBLlVeiy2/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Oman","COUNTRY","","","","","","","STRING","Country/Region of Manufacture","United States","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/htsAAOSwBahVeiy4/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Qatar","COUNTRY","","","","","","","STRING","Material","100% Cotton","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/lBYAAOSwZd1Veiy7/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Saudi Arabia","COUNTRY","","","","","","","","","","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/ZE0AAOSwv0tVeiy9/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Turkey","COUNTRY","","","","","","","","","","","","","","","","","http://i.ebayimg.com/00/s/NzUwWDU2Mw==/z/lcAAAOSwZd1VeizX/$_57.JPG?set_id=880000500F","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","United Arab Emirates","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yemen","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Afghanistan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Armenia","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Azerbaijan Republic","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bangladesh","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bhutan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Georgia","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","India","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kazakhstan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kyrgyzstan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Maldives","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mongolia","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nepal","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pakistan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sri Lanka","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tajikistan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Turkmenistan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Uzbekistan","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Albania","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Andorra","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cyprus","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Gibraltar","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Greece","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Guernsey","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Italy","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jersey","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Macedonia","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Malta","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Moldova","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Monaco","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Montenegro","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","San Marino","COUNTRY","","","","","","","","","","","","","","","","","","","","","",""
